Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Chongqing,Mainland China,2020-2-2,300,,7,2
Jiangsu,Mainland China,2020-2-3,271,,7,0
Sichuan,Mainland China,2020-2-3,254,,12,1
Shandong,Mainland China,2020-2-3,246,,6,0
Shanghai,Mainland China,2020-2-3,193,,10,1
Beijing,Mainland China,2020-2-2,191,,9,1
Fujian,Mainland China,2020-2-2,159,,0,0
Guangxi,Mainland China,2020-2-3,127,,2,0
Shaanxi,Mainland China,2020-2-2,116,,0,0
Hebei,Mainland China,2020-2-3,113,,3,1
Yunnan,Mainland China,2020-2-2,105,,3,0
Heilongjiang,Mainland China,2020-2-2,95,,2,2
Hainan,Mainland China,2020-2-3,71,,4,1
Liaoning,Mainland China,2020-2-2,70,,1,0
Shanxi,Mainland China,2020-2-2,66,,3,0
Gansu,Mainland China,2020-2-2,51,,3,0
Tianjin,Mainland China,2020-2-2,48,,1,0
Guizhou,Mainland China,2020-2-3,46,,2,0
Jilin,Mainland China,2020-2-3,31,,1,0
Ningxia,Mainland China,2020-2-2,28,,0,0
Inner Mongolia,Mainland China,2020-2-2,27,,1,0
Xinjiang,Mainland China,2020-2-3,24,,0,0
,Japan,2020-2-1,20,,1,0
,Thailand,2020-1-31,19,,5,0
,Singapore,2020-2-2,18,,0,0
Hong Kong,Hong Kong,2020-2-2,15,,0,0
,South Korea,2020-2-2,15,,0,0
Qinghai,Mainland China,2020-2-2,11,,0,0
,Germany,2020-2-2,10,,0,0
Taiwan,Taiwan,2020-1-31,10,,0,0
Macau,Macau,2020-2-2,8,,0,0
,Malaysia,2020-1-31,8,,0,0
,France,2020-2-1,6,,0,0
,Vietnam,2020-2-1,6,,1,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
Ontario,Canada,2020-2-1,3,,0,0
Queensland,Australia,2020-2-2,2,,0,0
South Australia,Australia,2020-2-2,2,,0,0
,India,2020-2-2,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
"Santa Clara, CA",United States,2020-2-3,2,,0,0
,Cambodia,2020-1-31,1,,0,0
British Columbia,Canada,2020-2-1,1,,0,0
,Finland,2020-1-31,1,,0,0
Tibet,Mainland China,2020-2-1,1,,0,0
,Nepal,2020-1-31,1,,0,0
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-2,11177,,295,350
Zhejiang,Mainland China,2020-2-2,661,,32,0
Guangdong,Mainland China,2020-2-2,632,,15,0
Henan,Mainland China,2020-2-2,493,,10,2
Hunan,Mainland China,2020-2-2,463,,16,0
Anhui,Mainland China,2020-2-2,340,,7,0
Jiangxi,Mainland China,2020-2-2,333,,12,0
Chongqing,Mainland China,2020-2-2,300,,7,2
Jiangsu,Mainland China,2020-2-2,236,,7,0
Sichuan,Mainland China,2020-2-2,231,,11,1
Shandong,Mainland China,2020-2-2,230,,6,0
Shanghai,Mainland China,2020-2-3,193,,10,1
Beijing,Mainland China,2020-2-2,191,,9,1
Fujian,Mainland China,2020-2-2,159,,0,0
Guangxi,Mainland China,2020-2-3,127,,2,0
Shaanxi,Mainland China,2020-2-2,116,,0,0
Hebei,Mainland China,2020-2-3,113,,3,1
Yunnan,Mainland China,2020-2-2,105,,3,0
Heilongjiang,Mainland China,2020-2-2,95,,2,2
Liaoning,Mainland China,2020-2-3,70,,1,0
Shanxi,Mainland China,2020-2-2,66,,3,0
Hainan,Mainland China,2020-2-2,64,,4,1
Gansu,Mainland China,2020-2-2,51,,3,0
Tianjin,Mainland China,2020-2-2,48,,1,0
Guizhou,Mainland China,2020-2-2,38,,2,0
Ningxia,Mainland China,2020-2-2,28,,0,0
Inner Mongolia,Mainland China,2020-2-2,27,,1,0
Jilin,Mainland China,2020-2-2,23,,1,0
Xinjiang,Mainland China,2020-2-2,21,,0,0
,Japan,2020-2-1,20,,1,0
,Thailand,2020-1-31,19,,5,0
,Singapore,2020-2-2,18,,0,0
Hong Kong,Hong Kong,2020-2-2,15,,0,0
,South Korea,2020-2-2,15,,0,0
Qinghai,Mainland China,2020-2-2,11,,0,0
,Germany,2020-2-2,10,,0,0
Taiwan,Taiwan,2020-1-31,10,,0,0
Macau,Macau,2020-2-2,8,,0,0
,Malaysia,2020-1-31,8,,0,0
,France,2020-2-1,6,,0,0
,Vietnam,2020-2-1,6,,1,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
Ontario,Canada,2020-2-1,3,,0,0
Queensland,Australia,2020-2-2,2,,0,0
South Australia,Australia,2020-2-2,2,,0,0
,India,2020-2-2,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
,Cambodia,2020-2-3,1,,0,0
British Columbia,Canada,2020-1-31,1,,0,0
,Finland,2020-2-1,1,,0,0
Tibet,Mainland China,2020-1-31,1,,0,0
,Nepal,2020-2-1,1,,0,0
,Spain,2020-1-31,1,,0,0
,Sri Lanka,2020-2-1,1,,0,0
,Sweden,2020-1-31,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Santa Clara, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-1,11177,,295,350
Zhejiang,Mainland China,2020-2-2,661,,32,0
Guangdong,Mainland China,2020-2-2,632,,15,0
Henan,Mainland China,2020-2-2,493,,10,2
Hunan,Mainland China,2020-2-2,463,,16,0
Anhui,Mainland China,2020-2-2,340,,7,0
Jiangxi,Mainland China,2020-2-2,333,,12,0
Chongqing,Mainland China,2020-2-2,300,,7,2
Jiangsu,Mainland China,2020-2-2,236,,7,0
Sichuan,Mainland China,2020-2-2,231,,11,1
Shandong,Mainland China,2020-2-2,230,,6,0
Shanghai,Mainland China,2020-2-2,193,,10,1
Beijing,Mainland China,2020-2-2,191,,9,1
Fujian,Mainland China,2020-2-2,159,,0,0
Guangxi,Mainland China,2020-2-2,127,,2,0
Shaanxi,Mainland China,2020-2-2,116,,0,0
Hebei,Mainland China,2020-2-2,113,,3,1
Yunnan,Mainland China,2020-2-2,105,,3,0
Heilongjiang,Mainland China,2020-2-2,95,,2,2
Liaoning,Mainland China,2020-2-2,70,,1,0
Shanxi,Mainland China,2020-2-2,66,,3,0
Hainan,Mainland China,2020-2-1,64,,4,1
Gansu,Mainland China,2020-2-2,51,,3,0
Tianjin,Mainland China,2020-2-1,48,,1,0
Guizhou,Mainland China,2020-2-2,38,,2,0
Ningxia,Mainland China,2020-2-2,28,,0,0
